scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"North Coyote Wash Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968834,https://inaturalist-open-data.s3.amazonaws.com/photos/712460898/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6831583333,32.1328138333
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"North Coyote Wash Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968826,https://inaturalist-open-data.s3.amazonaws.com/photos/712460856/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.68315,32.1328195
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"North Coyote Wash Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968814,https://inaturalist-open-data.s3.amazonaws.com/photos/712460816/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6827083333,32.1330138333
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"North Coyote Wash Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968764,https://inaturalist-open-data.s3.amazonaws.com/photos/712460639/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6824116667,32.1332471667
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"North Coyote Wash Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968718,https://inaturalist-open-data.s3.amazonaws.com/photos/712460568/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6818,32.134025
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"Hope Camp Trail, Tucson, AZ, US",3,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968677,https://inaturalist-open-data.s3.amazonaws.com/photos/712460489/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6718616667,32.1426805
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"Hope Camp Trail, Tucson, AZ, US",3,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968657,https://inaturalist-open-data.s3.amazonaws.com/photos/712460445/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6714166667,32.1426695
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"Hope Camp Trail, Tucson, AZ, US",2,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968596,https://inaturalist-open-data.s3.amazonaws.com/photos/712460331/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6794583333,32.1395416667
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"Hope Camp Trail, Tucson, AZ, US",3,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968547,https://inaturalist-open-data.s3.amazonaws.com/photos/712460250/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6849666667,32.1350221667
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"Hope Camp Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968523,https://inaturalist-open-data.s3.amazonaws.com/photos/712460191/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6866533333,32.1340138333
